Age,Gender,MaritalStatus,Occupation,IncomeLevel,Education,Location,FamilySize,DrivingScore,ClaimHistory,VehicleType,VehicleAge,AnnualMileage,PreviousPolicy,RiskAppetite,CoverageAmount,PremiumBudget,TenurePreference,AddonsInterested,RecommendedProduct
37,Male,Married,Retired,Low,High School,Urban,5,41,No,Car,3,26836,Comprehensive,Medium,300000,5000,5,Roadside Assistance,Third-Party
49,Female,Single,Student,High,High School,Rural,5,72,No,SUV,5,18689,Comprehensive,Low,1000000,10000,3,Roadside Assistance,Own Damage + Add-ons
33,Male,Single,Student,High,High School,Urban,5,57,No,Car,5,12785,Own Damage,High,100000,30000,3,Engine Protection,Third-Party
37,Female,Single,Student,Low,High School,Rural,1,86,Yes,Bike,18,33067,Own Damage,Medium,500000,10000,5,Zero Depreciation,Third-Party
58,Female,Single,Student,Low,Postgraduate,Urban,4,97,No,Car,17,35322,Third-Party,Low,300000,15000,5,Engine Protection,Third-Party
39,Female,Single,Student,High,Graduate,Metro,2,55,No,Commercial,2,13309,Own Damage,High,200000,5000,3,Zero Depreciation,Own Damage + Add-ons
59,Male,Married,Salaried,Low,High School,Urban,1,64,Yes,Car,7,9562,Third-Party,Medium,1000000,20000,1,NCB Protection,Third-Party
55,Female,Married,Student,Medium,Graduate,Metro,2,65,No,SUV,16,45498,Own Damage,Medium,100000,20000,3,Roadside Assistance,Third-Party
62,Male,Married,Self-Employed,Low,Graduate,Metro,2,44,No,SUV,2,14524,Comprehensive,Low,100000,10000,5,Roadside Assistance,Own Damage + Add-ons
54,Male,Single,Student,High,Doctorate,Rural,2,55,No,Commercial,5,11505,Comprehensive,Low,200000,20000,5,Engine Protection,Own Damage + Add-ons
32,Female,Single,Self-Employed,Medium,Postgraduate,Urban,1,83,No,Bike,12,6982,Third-Party,High,100000,30000,3,None,Third-Party
29,Female,Single,Self-Employed,Medium,Graduate,Metro,4,55,No,Car,19,13269,Comprehensive,Low,500000,10000,5,Engine Protection,Third-Party
26,Male,Married,Retired,High,Graduate,Rural,4,50,No,Car,15,17720,Comprehensive,Medium,500000,30000,3,NCB Protection,Third-Party
54,Female,Single,Salaried,Low,Graduate,Urban,3,47,Yes,SUV,12,40795,Comprehensive,Medium,1000000,5000,3,Engine Protection,Third-Party
61,Male,Married,Self-Employed,High,Graduate,Metro,5,42,No,Car,10,9390,Third-Party,High,500000,30000,5,Zero Depreciation,Third-Party
32,Female,Married,Self-Employed,Medium,Postgraduate,Urban,5,92,No,Commercial,7,18733,Own Damage,High,1000000,5000,3,NCB Protection,Own Damage + Add-ons
61,Female,Married,Salaried,Low,Postgraduate,Urban,4,99,No,Commercial,3,16431,Own Damage,High,1000000,5000,5,Roadside Assistance,Comprehensive
39,Female,Married,Self-Employed,Medium,Doctorate,Rural,5,55,No,SUV,19,39717,Third-Party,Low,300000,15000,3,Zero Depreciation,Third-Party
29,Male,Single,Salaried,Low,High School,Rural,4,46,No,Commercial,10,40783,Own Damage,Medium,100000,30000,1,Engine Protection,Third-Party
44,Female,Married,Self-Employed,High,Doctorate,Rural,2,67,Yes,Commercial,12,34719,Comprehensive,Low,100000,30000,3,None,Third-Party
36,Female,Married,Student,Medium,Graduate,Urban,3,41,No,Commercial,13,7367,Comprehensive,Medium,500000,30000,5,None,Third-Party
64,Male,Married,Self-Employed,High,Doctorate,Metro,5,90,No,Bike,18,48035,Comprehensive,High,100000,20000,1,Zero Depreciation,Third-Party
42,Male,Married,Student,Medium,Graduate,Urban,2,74,No,SUV,1,24324,Third-Party,Medium,1000000,15000,5,Engine Protection,Own Damage + Add-ons
27,Female,Married,Salaried,Low,Doctorate,Urban,5,70,No,Commercial,18,48606,Third-Party,Medium,1000000,25000,1,None,Third-Party
52,Female,Married,Student,High,Doctorate,Rural,3,50,No,Commercial,15,22992,Comprehensive,High,200000,20000,3,Zero Depreciation,Third-Party
61,Male,Married,Retired,High,Doctorate,Urban,1,80,No,Commercial,9,22060,Third-Party,High,100000,25000,1,None,Own Damage + Add-ons
29,Female,Single,Student,Medium,Postgraduate,Metro,3,50,No,Commercial,10,30395,Third-Party,Medium,100000,5000,5,Zero Depreciation,Third-Party
67,Male,Married,Self-Employed,High,Doctorate,Rural,2,40,Yes,Bike,16,29566,Third-Party,Low,500000,15000,3,Zero Depreciation,Third-Party
25,Female,Single,Student,High,Postgraduate,Urban,3,96,Yes,Car,18,32369,Comprehensive,High,500000,15000,1,Engine Protection,Third-Party
28,Female,Single,Salaried,Low,Postgraduate,Metro,2,69,No,Car,16,28518,Third-Party,High,300000,10000,1,None,Third-Party
56,Female,Single,Retired,High,Doctorate,Urban,3,69,No,SUV,13,11667,Third-Party,Low,500000,5000,3,Zero Depreciation,Third-Party
36,Female,Single,Salaried,High,Graduate,Rural,5,72,No,Bike,14,40299,Comprehensive,Low,1000000,10000,5,Roadside Assistance,Third-Party
40,Female,Married,Self-Employed,Low,Postgraduate,Urban,3,51,No,SUV,5,42463,Own Damage,Low,1000000,5000,3,Zero Depreciation,Own Damage + Add-ons
41,Male,Single,Self-Employed,Medium,Doctorate,Metro,3,49,Yes,Car,9,41743,Comprehensive,Low,100000,10000,3,Zero Depreciation,Third-Party
32,Female,Married,Salaried,Low,Doctorate,Urban,4,94,Yes,SUV,6,45219,Comprehensive,High,200000,30000,5,NCB Protection,Own Damage + Add-ons
37,Female,Single,Retired,Medium,Graduate,Metro,3,83,Yes,Car,17,20591,Third-Party,Low,100000,15000,1,Zero Depreciation,Third-Party
42,Male,Single,Salaried,High,Postgraduate,Urban,5,85,Yes,SUV,3,30819,Own Damage,Low,200000,15000,1,Engine Protection,Comprehensive
31,Male,Single,Retired,Low,Graduate,Metro,2,82,Yes,Bike,15,47387,Third-Party,Low,500000,10000,3,Engine Protection,Third-Party
27,Male,Married,Self-Employed,Medium,High School,Urban,1,43,No,Bike,10,18986,Third-Party,Medium,300000,10000,5,Zero Depreciation,Third-Party
65,Male,Married,Self-Employed,Low,Postgraduate,Urban,1,81,No,Commercial,10,11550,Own Damage,High,300000,20000,1,Engine Protection,Third-Party
67,Male,Married,Retired,High,High School,Urban,1,95,No,Bike,7,29261,Own Damage,High,300000,15000,1,Zero Depreciation,Third-Party
46,Male,Single,Self-Employed,Medium,Doctorate,Metro,1,88,No,SUV,7,46973,Comprehensive,Low,500000,30000,3,Engine Protection,Own Damage + Add-ons
64,Male,Single,Self-Employed,Low,Postgraduate,Urban,2,72,Yes,Car,12,8953,Comprehensive,High,200000,30000,3,Roadside Assistance,Third-Party
66,Male,Single,Self-Employed,Medium,Postgraduate,Urban,2,77,No,SUV,6,18885,Comprehensive,Low,100000,25000,1,Zero Depreciation,Own Damage + Add-ons
66,Female,Single,Salaried,High,Graduate,Rural,1,70,Yes,Car,10,38465,Third-Party,High,300000,25000,5,Zero Depreciation,Third-Party
29,Male,Married,Self-Employed,Low,High School,Urban,3,70,No,Commercial,5,21868,Third-Party,Low,100000,5000,5,Roadside Assistance,Own Damage + Add-ons
50,Male,Single,Student,Medium,Graduate,Urban,3,44,No,Commercial,8,43687,Own Damage,High,300000,20000,3,Engine Protection,Own Damage + Add-ons
40,Male,Single,Salaried,Medium,Doctorate,Metro,4,60,Yes,Bike,4,46186,Own Damage,Medium,200000,10000,5,Engine Protection,Third-Party
31,Male,Single,Student,Medium,Graduate,Rural,2,57,No,Commercial,18,32821,Comprehensive,Medium,500000,25000,5,None,Third-Party
40,Male,Married,Self-Employed,High,Graduate,Rural,4,57,No,Commercial,17,36871,Third-Party,Low,200000,5000,3,Roadside Assistance,Third-Party
66,Male,Married,Retired,Medium,Graduate,Rural,5,43,No,Bike,9,15176,Own Damage,Low,200000,15000,1,Roadside Assistance,Third-Party
54,Male,Single,Retired,Low,Postgraduate,Rural,2,89,Yes,SUV,18,17933,Comprehensive,High,1000000,15000,1,NCB Protection,Third-Party
39,Female,Married,Salaried,Low,Doctorate,Metro,1,59,No,Car,3,8665,Third-Party,Medium,300000,25000,3,Engine Protection,Third-Party
46,Male,Married,Self-Employed,High,Doctorate,Urban,1,92,No,Car,16,41347,Comprehensive,Low,200000,5000,5,Zero Depreciation,Third-Party
53,Male,Single,Self-Employed,High,Graduate,Urban,4,59,No,Car,1,12114,Own Damage,High,1000000,15000,3,Roadside Assistance,Third-Party
19,Male,Married,Self-Employed,Medium,Postgraduate,Metro,2,87,No,SUV,4,35252,Third-Party,Medium,100000,5000,1,NCB Protection,Comprehensive
37,Male,Single,Salaried,High,Postgraduate,Metro,3,93,No,Commercial,5,41090,Comprehensive,Medium,200000,15000,3,Engine Protection,Own Damage + Add-ons
22,Male,Married,Salaried,Medium,Graduate,Metro,2,67,No,Car,5,45213,Comprehensive,High,500000,15000,3,Zero Depreciation,Third-Party
44,Male,Married,Student,Medium,Doctorate,Urban,4,86,No,Commercial,2,44916,Comprehensive,High,1000000,30000,1,NCB Protection,Comprehensive
20,Male,Single,Salaried,High,Postgraduate,Urban,4,52,No,Commercial,3,23508,Third-Party,High,500000,15000,3,Roadside Assistance,Own Damage + Add-ons
35,Male,Single,Retired,Medium,High School,Metro,1,74,No,Commercial,14,33202,Comprehensive,Low,1000000,30000,3,Zero Depreciation,Third-Party
30,Female,Married,Self-Employed,Medium,High School,Rural,1,57,No,Commercial,8,28212,Own Damage,Medium,300000,10000,1,Zero Depreciation,Own Damage + Add-ons
39,Male,Single,Student,Medium,Doctorate,Metro,5,72,No,SUV,0,35536,Third-Party,Low,100000,10000,5,None,Own Damage + Add-ons
30,Female,Single,Salaried,Medium,Doctorate,Metro,4,76,No,Bike,15,28516,Own Damage,High,500000,30000,3,NCB Protection,Third-Party
29,Female,Married,Student,Low,Doctorate,Rural,5,75,No,Bike,7,16870,Comprehensive,Low,200000,30000,5,Zero Depreciation,Third-Party
49,Female,Married,Self-Employed,High,High School,Rural,5,48,Yes,Bike,3,49065,Third-Party,High,100000,5000,5,Roadside Assistance,Third-Party
53,Male,Single,Salaried,Low,High School,Rural,1,65,No,Commercial,3,7413,Third-Party,Low,100000,30000,5,Zero Depreciation,Own Damage + Add-ons
24,Male,Single,Self-Employed,Medium,Postgraduate,Rural,3,40,No,Commercial,10,6594,Own Damage,Low,200000,15000,5,None,Third-Party
23,Male,Married,Self-Employed,High,Doctorate,Metro,1,64,No,Bike,17,30853,Comprehensive,High,500000,30000,3,None,Third-Party
57,Male,Married,Retired,High,Postgraduate,Metro,2,63,No,Commercial,17,48755,Third-Party,Low,500000,5000,1,Zero Depreciation,Third-Party
54,Male,Single,Student,High,High School,Urban,3,69,No,Commercial,11,39002,Comprehensive,High,300000,25000,3,Engine Protection,Third-Party
23,Male,Married,Retired,Medium,High School,Urban,4,81,No,SUV,4,32831,Comprehensive,Medium,1000000,15000,5,Zero Depreciation,Comprehensive
42,Female,Married,Retired,High,High School,Metro,3,51,No,SUV,6,39895,Third-Party,Medium,100000,15000,5,None,Own Damage + Add-ons
44,Female,Married,Student,High,High School,Urban,4,83,No,SUV,14,36955,Comprehensive,Medium,100000,5000,3,None,Third-Party
22,Female,Married,Student,Low,Postgraduate,Urban,4,98,No,Bike,16,37624,Third-Party,Medium,300000,5000,5,Roadside Assistance,Third-Party
36,Female,Married,Student,High,High School,Urban,5,54,No,Bike,15,6321,Own Damage,Medium,1000000,25000,5,Roadside Assistance,Third-Party
26,Male,Single,Student,Low,High School,Rural,2,59,Yes,Car,8,24139,Own Damage,Low,1000000,25000,3,Engine Protection,Third-Party
67,Female,Single,Retired,Medium,Doctorate,Rural,1,66,No,SUV,12,27159,Third-Party,Medium,1000000,5000,3,Roadside Assistance,Third-Party
57,Male,Single,Salaried,High,Graduate,Rural,5,68,No,Car,3,5151,Third-Party,Medium,200000,10000,1,Zero Depreciation,Third-Party
18,Female,Married,Student,Medium,Graduate,Metro,5,41,No,Bike,10,43688,Comprehensive,Low,300000,30000,5,Zero Depreciation,Third-Party
63,Male,Single,Salaried,Medium,Postgraduate,Rural,2,54,No,Car,13,20564,Third-Party,Medium,200000,20000,5,None,Third-Party
26,Male,Single,Salaried,High,High School,Urban,1,74,No,Commercial,14,23001,Own Damage,Medium,1000000,25000,3,Zero Depreciation,Third-Party
56,Female,Single,Self-Employed,Medium,High School,Metro,5,49,Yes,Commercial,7,16608,Comprehensive,Low,200000,20000,3,None,Own Damage + Add-ons
27,Female,Married,Salaried,Medium,Graduate,Metro,3,96,No,Bike,5,22503,Own Damage,Low,100000,25000,5,Zero Depreciation,Third-Party
66,Female,Single,Self-Employed,High,High School,Urban,1,65,Yes,Commercial,3,36008,Own Damage,High,200000,25000,3,Zero Depreciation,Own Damage + Add-ons
60,Female,Married,Retired,High,Doctorate,Urban,2,73,Yes,Commercial,9,42100,Own Damage,High,200000,25000,3,Zero Depreciation,Own Damage + Add-ons
66,Male,Married,Self-Employed,High,High School,Rural,3,47,Yes,Car,19,14576,Comprehensive,High,500000,25000,3,Zero Depreciation,Third-Party
31,Male,Married,Student,Low,High School,Urban,3,97,Yes,Commercial,9,28205,Own Damage,Low,300000,10000,5,Roadside Assistance,Own Damage + Add-ons
63,Female,Single,Student,Medium,Graduate,Rural,5,40,No,SUV,19,7936,Own Damage,High,1000000,10000,5,Roadside Assistance,Third-Party
57,Male,Single,Student,Medium,Graduate,Metro,2,54,Yes,Bike,6,7357,Own Damage,Low,300000,20000,1,None,Third-Party
42,Female,Single,Salaried,Low,High School,Rural,2,43,No,SUV,4,7572,Third-Party,Medium,100000,5000,1,NCB Protection,Own Damage + Add-ons
67,Male,Single,Student,Medium,High School,Metro,5,42,Yes,SUV,6,29585,Own Damage,High,1000000,20000,1,Zero Depreciation,Own Damage + Add-ons
36,Male,Single,Self-Employed,High,High School,Metro,1,84,No,Car,14,20427,Comprehensive,Medium,100000,10000,1,None,Third-Party
67,Male,Single,Student,High,High School,Rural,4,81,No,Commercial,16,41252,Third-Party,Low,200000,10000,5,None,Third-Party
34,Male,Single,Student,Medium,Postgraduate,Metro,5,41,Yes,Bike,17,12667,Own Damage,Low,500000,15000,3,Zero Depreciation,Third-Party
35,Female,Single,Self-Employed,Medium,Graduate,Urban,3,58,Yes,Car,19,9772,Third-Party,Low,1000000,15000,5,Zero Depreciation,Third-Party
63,Female,Single,Salaried,Medium,Doctorate,Metro,4,58,Yes,Commercial,1,34278,Comprehensive,Medium,100000,25000,5,None,Own Damage + Add-ons
57,Male,Married,Salaried,High,Postgraduate,Rural,1,85,No,SUV,12,18227,Third-Party,Medium,200000,15000,5,None,Third-Party
67,Female,Married,Salaried,Medium,Postgraduate,Metro,1,80,Yes,Bike,17,18660,Comprehensive,Medium,1000000,5000,1,Roadside Assistance,Third-Party
26,Male,Single,Self-Employed,Medium,Postgraduate,Rural,1,58,Yes,Car,7,19921,Own Damage,High,1000000,20000,3,Roadside Assistance,Third-Party
18,Female,Married,Retired,High,Postgraduate,Rural,4,96,No,SUV,10,23202,Third-Party,Low,300000,30000,3,Zero Depreciation,Third-Party
23,Male,Single,Self-Employed,High,High School,Rural,5,59,Yes,SUV,11,8262,Third-Party,Medium,1000000,30000,5,None,Third-Party
55,Female,Single,Salaried,High,High School,Metro,2,88,No,Car,16,22012,Comprehensive,High,100000,20000,1,Zero Depreciation,Third-Party
55,Male,Married,Retired,Medium,Doctorate,Urban,5,95,Yes,SUV,3,30090,Own Damage,Medium,500000,10000,5,Engine Protection,Comprehensive
56,Female,Married,Retired,Medium,Doctorate,Metro,5,97,No,Commercial,19,37347,Comprehensive,Low,1000000,30000,3,Zero Depreciation,Third-Party
34,Female,Married,Student,Low,High School,Rural,4,76,No,SUV,3,38532,Third-Party,High,100000,20000,3,Zero Depreciation,Own Damage + Add-ons
26,Female,Married,Self-Employed,Low,High School,Rural,3,41,Yes,Car,16,10522,Comprehensive,High,200000,5000,5,None,Third-Party
28,Female,Single,Salaried,High,Graduate,Metro,4,64,Yes,Commercial,9,42367,Comprehensive,High,200000,15000,3,None,Own Damage + Add-ons
35,Male,Single,Salaried,High,Doctorate,Rural,3,78,No,Car,15,6633,Own Damage,High,1000000,15000,1,Roadside Assistance,Third-Party
62,Female,Married,Salaried,High,Graduate,Rural,4,61,No,Commercial,14,10028,Third-Party,High,500000,5000,3,NCB Protection,Third-Party
63,Male,Married,Retired,Medium,Doctorate,Rural,3,73,No,SUV,1,12966,Comprehensive,High,1000000,15000,5,Zero Depreciation,Own Damage + Add-ons
54,Female,Single,Salaried,Low,High School,Metro,2,61,Yes,Car,13,26478,Own Damage,Low,300000,30000,3,Roadside Assistance,Third-Party
24,Male,Married,Retired,High,Doctorate,Metro,2,51,No,SUV,16,25252,Third-Party,Low,1000000,25000,5,Engine Protection,Third-Party
52,Female,Married,Student,Medium,High School,Urban,1,85,No,Commercial,7,21667,Own Damage,High,300000,20000,5,Zero Depreciation,Own Damage + Add-ons
61,Male,Single,Retired,Medium,High School,Urban,1,78,No,Bike,7,41849,Own Damage,Low,300000,15000,1,NCB Protection,Third-Party
24,Male,Married,Student,Medium,High School,Metro,3,85,No,Commercial,13,28076,Own Damage,Low,300000,20000,5,Engine Protection,Third-Party
56,Female,Single,Self-Employed,Medium,High School,Rural,5,51,No,SUV,4,47548,Third-Party,Medium,300000,5000,5,Zero Depreciation,Own Damage + Add-ons
28,Male,Single,Self-Employed,Medium,Graduate,Rural,1,87,No,Car,19,30282,Third-Party,Medium,300000,15000,3,None,Third-Party
27,Male,Single,Retired,Low,Graduate,Rural,4,85,No,Commercial,9,48255,Own Damage,Medium,200000,25000,3,NCB Protection,Own Damage + Add-ons
51,Female,Married,Salaried,Medium,High School,Metro,2,92,No,Car,17,47712,Third-Party,High,1000000,25000,3,None,Third-Party
41,Female,Married,Student,High,Graduate,Metro,1,70,No,SUV,0,7517,Own Damage,Medium,1000000,5000,1,Engine Protection,Own Damage + Add-ons
29,Female,Single,Self-Employed,High,Graduate,Metro,1,92,No,SUV,1,43820,Own Damage,Low,300000,25000,1,Roadside Assistance,Comprehensive
26,Female,Married,Student,High,Doctorate,Rural,1,99,No,SUV,6,25004,Comprehensive,Medium,300000,5000,3,None,Own Damage + Add-ons
39,Male,Single,Retired,High,Postgraduate,Rural,4,71,Yes,Commercial,5,7222,Third-Party,High,300000,30000,1,NCB Protection,Own Damage + Add-ons
55,Male,Married,Self-Employed,High,High School,Rural,4,75,No,Bike,6,33300,Own Damage,High,1000000,25000,3,None,Third-Party
63,Male,Married,Retired,Medium,High School,Metro,1,53,No,Car,14,30942,Own Damage,Low,300000,15000,1,Roadside Assistance,Third-Party
49,Female,Single,Retired,Low,Doctorate,Rural,5,65,No,Bike,9,48553,Comprehensive,Low,300000,20000,5,Zero Depreciation,Third-Party
25,Female,Single,Salaried,High,Graduate,Metro,5,67,No,Car,13,27866,Comprehensive,Medium,500000,20000,3,Roadside Assistance,Third-Party
65,Female,Single,Salaried,Low,Doctorate,Metro,4,40,No,Bike,2,18805,Own Damage,Medium,1000000,10000,3,Engine Protection,Third-Party
38,Male,Single,Self-Employed,Medium,Graduate,Rural,4,49,Yes,Commercial,2,24399,Own Damage,Medium,500000,20000,1,Zero Depreciation,Own Damage + Add-ons
33,Female,Married,Retired,Low,Doctorate,Urban,2,62,Yes,Commercial,8,20677,Comprehensive,High,100000,25000,1,None,Own Damage + Add-ons
50,Male,Single,Student,Medium,Graduate,Metro,5,74,No,SUV,7,21829,Comprehensive,Medium,500000,10000,5,None,Own Damage + Add-ons
59,Female,Married,Student,Medium,Graduate,Metro,1,54,No,Bike,6,46928,Third-Party,Medium,500000,10000,1,Roadside Assistance,Third-Party
42,Male,Married,Retired,High,Doctorate,Rural,3,92,No,Commercial,13,47008,Comprehensive,Low,100000,15000,3,Zero Depreciation,Third-Party
68,Male,Married,Retired,High,High School,Urban,2,84,Yes,SUV,3,41144,Third-Party,High,500000,15000,5,Roadside Assistance,Comprehensive
56,Female,Single,Salaried,High,Doctorate,Urban,2,47,Yes,Car,19,41619,Comprehensive,High,500000,15000,3,Zero Depreciation,Third-Party
23,Female,Married,Salaried,High,Graduate,Rural,1,41,No,SUV,17,45986,Own Damage,Low,300000,30000,1,Roadside Assistance,Third-Party
21,Male,Married,Student,Low,Graduate,Urban,1,59,No,Car,14,40346,Third-Party,High,100000,25000,3,NCB Protection,Third-Party
40,Male,Married,Student,Low,High School,Rural,4,80,No,Car,5,24493,Third-Party,Low,300000,25000,5,NCB Protection,Third-Party
26,Female,Married,Retired,Medium,Graduate,Rural,5,82,No,SUV,5,7738,Own Damage,Low,200000,30000,3,Zero Depreciation,Own Damage + Add-ons
53,Female,Married,Salaried,Low,Doctorate,Urban,4,68,No,Commercial,1,35898,Own Damage,Low,1000000,25000,1,Zero Depreciation,Own Damage + Add-ons
28,Male,Married,Self-Employed,Medium,Postgraduate,Metro,5,41,No,Car,14,35140,Comprehensive,Medium,500000,20000,3,Roadside Assistance,Third-Party
52,Female,Married,Self-Employed,Medium,High School,Urban,5,79,No,Car,19,22988,Third-Party,Medium,200000,5000,3,NCB Protection,Third-Party
29,Female,Married,Student,Medium,Doctorate,Metro,3,80,Yes,Car,5,31910,Own Damage,High,100000,15000,5,Roadside Assistance,Third-Party
52,Female,Married,Student,Medium,Graduate,Metro,2,83,No,Bike,10,5238,Third-Party,Low,200000,30000,1,None,Third-Party
24,Male,Married,Self-Employed,High,Graduate,Metro,3,90,Yes,Bike,15,6481,Third-Party,Medium,100000,10000,5,Zero Depreciation,Third-Party
46,Male,Married,Salaried,Medium,High School,Urban,1,54,No,Car,15,43086,Comprehensive,High,100000,10000,5,NCB Protection,Third-Party
38,Male,Married,Salaried,High,Doctorate,Metro,3,92,Yes,Bike,11,48622,Third-Party,High,100000,10000,5,None,Third-Party
20,Male,Married,Salaried,Medium,Graduate,Rural,3,43,No,Bike,5,37687,Comprehensive,Low,500000,5000,1,Zero Depreciation,Third-Party
41,Male,Married,Retired,High,Doctorate,Rural,2,81,No,Commercial,6,34153,Third-Party,Low,100000,25000,3,NCB Protection,Own Damage + Add-ons
47,Male,Married,Retired,High,Doctorate,Metro,3,52,No,SUV,11,18211,Third-Party,High,500000,30000,1,None,Third-Party
44,Male,Single,Self-Employed,Low,Postgraduate,Urban,2,97,Yes,SUV,18,46492,Third-Party,High,200000,25000,3,Roadside Assistance,Third-Party
46,Female,Married,Salaried,Low,Doctorate,Metro,2,67,No,Commercial,4,35491,Comprehensive,High,200000,25000,5,Roadside Assistance,Own Damage + Add-ons
47,Female,Married,Self-Employed,Medium,Postgraduate,Rural,2,95,No,Car,3,9651,Comprehensive,Medium,500000,30000,3,NCB Protection,Comprehensive
53,Male,Single,Retired,High,High School,Rural,2,79,Yes,SUV,13,41049,Third-Party,Medium,200000,10000,1,Engine Protection,Third-Party
40,Female,Single,Retired,Medium,Postgraduate,Metro,3,82,No,Car,9,15468,Own Damage,High,300000,5000,1,Engine Protection,Third-Party
54,Male,Married,Self-Employed,Low,Doctorate,Urban,4,76,No,Car,6,43937,Own Damage,High,200000,20000,1,Zero Depreciation,Third-Party
43,Male,Single,Retired,Medium,High School,Rural,4,60,No,Commercial,4,25711,Own Damage,High,300000,30000,3,Zero Depreciation,Own Damage + Add-ons
67,Female,Married,Retired,Low,Postgraduate,Urban,1,54,No,SUV,2,42279,Own Damage,Medium,200000,30000,3,None,Own Damage + Add-ons
53,Male,Single,Student,High,High School,Rural,2,72,Yes,Commercial,19,45358,Own Damage,Low,200000,30000,1,None,Third-Party
45,Female,Single,Self-Employed,High,Graduate,Rural,4,92,No,SUV,1,14385,Third-Party,Low,100000,5000,1,Roadside Assistance,Comprehensive
54,Male,Single,Self-Employed,High,Doctorate,Metro,1,88,Yes,Commercial,2,13009,Own Damage,High,300000,5000,3,Engine Protection,Comprehensive
68,Female,Single,Student,High,Graduate,Rural,3,51,No,SUV,4,30344,Own Damage,Medium,500000,15000,5,Zero Depreciation,Own Damage + Add-ons
21,Female,Single,Retired,Medium,High School,Metro,1,69,No,Car,14,29624,Third-Party,Medium,100000,20000,1,Engine Protection,Third-Party
46,Male,Married,Retired,High,Postgraduate,Rural,4,43,Yes,Car,0,33735,Own Damage,High,300000,5000,3,None,Third-Party
61,Male,Single,Student,Low,High School,Rural,1,78,Yes,Commercial,15,16520,Comprehensive,High,100000,20000,1,Engine Protection,Third-Party
31,Female,Married,Self-Employed,Medium,Graduate,Urban,1,50,No,Bike,19,42411,Own Damage,High,1000000,5000,5,Roadside Assistance,Third-Party
61,Female,Married,Retired,Low,Doctorate,Metro,1,83,No,Car,14,48030,Own Damage,Medium,100000,20000,5,Zero Depreciation,Third-Party
62,Male,Married,Student,Low,High School,Urban,4,66,No,SUV,2,5695,Third-Party,Low,500000,30000,5,Roadside Assistance,Own Damage + Add-ons
54,Female,Married,Salaried,High,Graduate,Metro,2,87,No,Car,8,18197,Comprehensive,Medium,1000000,20000,3,Zero Depreciation,Third-Party
50,Male,Single,Salaried,Medium,High School,Urban,3,57,No,SUV,3,17008,Third-Party,Medium,500000,20000,5,Roadside Assistance,Own Damage + Add-ons
68,Male,Married,Self-Employed,Low,High School,Rural,2,53,No,SUV,12,23111,Comprehensive,Medium,500000,15000,1,None,Third-Party
48,Male,Single,Student,High,Doctorate,Metro,5,54,No,Commercial,9,8694,Third-Party,Low,300000,25000,5,NCB Protection,Own Damage + Add-ons
31,Male,Married,Student,High,Postgraduate,Metro,2,88,Yes,Car,13,12218,Third-Party,Low,200000,5000,1,Roadside Assistance,Third-Party
42,Male,Single,Salaried,Medium,Graduate,Metro,3,73,No,Commercial,14,18308,Comprehensive,Low,100000,15000,1,Roadside Assistance,Third-Party
26,Female,Single,Self-Employed,Medium,High School,Rural,1,62,No,SUV,12,39549,Comprehensive,High,500000,5000,1,Engine Protection,Third-Party
42,Female,Married,Self-Employed,High,Doctorate,Rural,2,74,Yes,Commercial,1,14017,Comprehensive,Low,1000000,5000,1,None,Own Damage + Add-ons
58,Male,Married,Retired,Medium,High School,Metro,4,44,No,Car,17,38244,Comprehensive,High,300000,10000,1,NCB Protection,Third-Party
63,Male,Single,Self-Employed,Medium,Postgraduate,Urban,5,40,No,Commercial,10,24348,Own Damage,High,100000,30000,5,NCB Protection,Third-Party
42,Female,Married,Salaried,High,Doctorate,Urban,1,65,No,SUV,8,43389,Own Damage,Low,100000,10000,3,Zero Depreciation,Own Damage + Add-ons
47,Male,Married,Student,Medium,Doctorate,Rural,1,49,No,Car,8,16595,Own Damage,High,300000,15000,5,Zero Depreciation,Third-Party
37,Female,Single,Self-Employed,Medium,High School,Rural,1,54,No,Commercial,14,16699,Comprehensive,Medium,100000,5000,5,NCB Protection,Third-Party
40,Male,Married,Student,High,Doctorate,Urban,2,71,Yes,Bike,12,9058,Own Damage,High,200000,15000,3,NCB Protection,Third-Party
18,Female,Married,Salaried,High,High School,Urban,4,81,No,Car,17,31624,Own Damage,Medium,200000,25000,5,None,Third-Party
32,Male,Married,Retired,Low,Doctorate,Rural,3,63,No,SUV,0,21780,Own Damage,High,100000,25000,3,NCB Protection,Own Damage + Add-ons
38,Male,Single,Retired,High,High School,Urban,5,75,No,Commercial,16,20739,Own Damage,High,100000,10000,1,Zero Depreciation,Third-Party
47,Female,Married,Self-Employed,Low,Doctorate,Urban,4,84,No,SUV,11,26818,Comprehensive,Low,300000,10000,5,Zero Depreciation,Third-Party
28,Male,Married,Student,Medium,Postgraduate,Urban,2,55,No,Commercial,18,11748,Third-Party,Medium,1000000,15000,1,Engine Protection,Third-Party
67,Male,Married,Student,High,Postgraduate,Rural,5,49,Yes,Commercial,0,30521,Comprehensive,Medium,500000,25000,1,NCB Protection,Own Damage + Add-ons
43,Male,Single,Salaried,Medium,Postgraduate,Urban,4,73,No,Car,3,9409,Third-Party,Low,500000,30000,3,None,Third-Party
